private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
American University of Science and Technology,http://www.wikidata.org/entity/Q4745321,1.0,"university in Beirut, Lebanon",Q4745321,American University of Science and Technology
AUST,,0.0,,,
University of Balamand,http://www.wikidata.org/entity/Q1324082,1.0,private university in Lebanon,Q1324082,University of Balamand
École Supérieure des Affaires,http://www.wikidata.org/entity/Q8078043,1.0,"Graduate School of Business in Beirut, Lebanon",Q8078043,École supérieure des affaires
ESA,,0.0,,,
Beirut Arab University,http://www.wikidata.org/entity/Q2778441,1.0,"institute of higher education based in Beirut, Lebanon",Q2778441,Beirut Arab University
BAU,,0.0,,,
Haigazian University,http://www.wikidata.org/entity/Q465523,1.0,university in Lebanon,Q465523,Haigazian University
Lebanese International University,,0.0,,,
LIU,http://www.wikidata.org/entity/Q39000092,1.0,family name,Q39000092,Liu
Notre Dame University – Louaize,http://www.wikidata.org/entity/Q1529514,1.0,modern school,Q1529514,Notre Dame University – Louaize
NDU,http://www.wikidata.org/entity/Q134462957,1.0,family name,Q134462957,Ndu
Université La Sagesse,,0.0,,,
Lycee Abdel Kader,http://www.wikidata.org/entity/Q3268548,0.991,"private school in Beirut, Lebanon",Q3268548,Lycée Abdel Kader
